Septimus Vector,SeptimusVector@hogwarts.edu,Yes,No
Bilius Bane,BiliusBane@hogwarts.edu,Yes,No
Armando Dippet,ArmandoDippet@hogwarts.edu,Yes,No
Aurora Sinistra,AuroraSinistra@hogwarts.edu,Yes,No
Amos Diggory,AmosDiggory@hogwarts.edu,Yes,No
Nicholas de Mimsy-Porpington,NicholasdeMimsy-Porpington@hogwarts.edu,Yes,No
Columbus Flitwick,ColumbusFlitwick@hogwarts.edu,Yes,No
Miranda Goshawk,MirandaGoshawk@hogwarts.edu,Yes,No
Godric Gryffindor,GodricGryffindor@hogwarts.edu,Yes,No
Mafalda Hopkirk,MafaldaHopkirk@hogwarts.edu,Yes,No
Wilhelmina Grubbly-Plank,WilhelminaGrubbly-Plank@hogwarts.edu,Yes,No
Rubeus Hagrid,RubeusHagrid@hogwarts.edu,Yes,No
Irma Pince,IrmaPince@hogwarts.edu,Yes,No
Craig Dawlish,CraigDawlish@hogwarts.edu,Yes,No
Caradoc Dearborn,CaradocDearborn@hogwarts.edu,Yes,No
Patrick Delaney-Podmore,PatrickDelaney-Podmore@hogwarts.edu,Yes,No
Gilderoy Lockhart,GilderoyLockhart@hogwarts.edu,Yes,No
Remus Lupin,RemusLupin@hogwarts.edu,Yes,No
Alastor Moody,AlastorMoody@hogwarts.edu,Yes,No
Quirinus Quirrell,QuirinusQuirrell@hogwarts.edu,Yes,No
Dolores Jane Umbridge,DoloresJaneUmbridge@hogwarts.edu,Yes,No
Claude Firenze,ClaudeFirenze@hogwarts.edu,Yes,No
Sibyll Trelawney,SibyllTrelawney@hogwarts.edu,Yes,No
Poppy Pomfrey,PoppyPomfrey@hogwarts.edu,Yes,No
Pomona Sprout,PomonaSprout@hogwarts.edu,Yes,No
Elphias Doge,ElphiasDoge@hogwarts.edu,Yes,No
Angus Fleet,AngusFleet@hogwarts.edu,Yes,No
Andrew Binns,AndrewBinns@hogwarts.edu,Yes,No
Cletus Tofty,CletusTofty@hogwarts.edu,Yes,No
Bathilda Bagshot,BathildaBagshot@hogwarts.edu,Yes,No
Broderick Bode,BroderickBode@hogwarts.edu,Yes,No
Amelia Susan Bones,AmeliaSusanBones@hogwarts.edu,Yes,No
Edgar Bones,EdgarBones@hogwarts.edu,Yes,No
Olympe Maxime,OlympeMaxime@hogwarts.edu,Yes,No
Severus Snape,SeverusSnape@hogwarts.edu,Yes,No
Arsenius Jigger,ArseniusJigger@hogwarts.edu,Yes,No
Rolanda Hooch,RolandaHooch@hogwarts.edu,Yes,No
Minerva McGonagall,MinervaMcGonagall@hogwarts.edu,Yes,No
Albus Percival Wulfric Brian Dumbledore,AlbusPercivalWulfricBrianDumbledore@hogwarts.edu,Yes,No
Sirius Black,SiriusBlack@hogwarts.edu,Yes,No
Regulus Black,RegulusBlack@hogwarts.edu,No,Yes
Hannah Abbott,HannahAbbott@hogwarts.edu,No,Yes
Euan Abercrombie,EuanAbercrombie@hogwarts.edu,No,Yes
Stewart Ackerley,StewartAckerley@hogwarts.edu,No,Yes
Malcolm Baddock,MalcolmBaddock@hogwarts.edu,No,Yes
Katie Bell,KatieBell@hogwarts.edu,No,Yes
Miles Bletchley,MilesBletchley@hogwarts.edu,No,Yes
Susan Bones,SusanBones@hogwarts.edu,No,Yes
Terry Boot,TerryBoot@hogwarts.edu,No,Yes
Arthur Bradley,ArthurBradley@hogwarts.edu,No,Yes
Eleanor Branstone,EleanorBranstone@hogwarts.edu,No,Yes
Mandy Brocklehurst,MandyBrocklehurst@hogwarts.edu,No,Yes
Lavender Brown,LavenderBrown@hogwarts.edu,No,Yes
Millicent Bulstrode,MillicentBulstrode@hogwarts.edu,No,Yes
Eddie Carmichael,EddieCarmichael@hogwarts.edu,No,Yes
Owen Cauldwell,OwenCauldwell@hogwarts.edu,No,Yes
Cho Chang,ChoChang@hogwarts.edu,No,Yes
Penelope Clearwater,PenelopeClearwater@hogwarts.edu,No,Yes
Michael Corner,MichaelCorner@hogwarts.edu,No,Yes
Vincent Crabbe,VincentCrabbe@hogwarts.edu,No,Yes
Dennis Creevey,DennisCreevey@hogwarts.edu,No,Yes
Colin Creevey,ColinCreevey@hogwarts.edu,No,Yes
Roger Davies,RogerDavies@hogwarts.edu,No,Yes
Gabrielle Delacour,GabrielleDelacour@hogwarts.edu,No,Yes
Fleur Delacour,FleurDelacour@hogwarts.edu,No,Yes
Jerrick Derrick,JerrickDerrick@hogwarts.edu,No,Yes
Cedric Diggory,CedricDiggory@hogwarts.edu,No,Yes
Harold Dingle,HaroldDingle@hogwarts.edu,No,Yes
Emma Dobbs,EmmaDobbs@hogwarts.edu,No,Yes
Marietta Edgecombe,MariettaEdgecombe@hogwarts.edu,No,Yes
Claire Fawcett,ClaireFawcett@hogwarts.edu,No,Yes
Justin Finch-Fletchley,JustinFinch-Fletchley@hogwarts.edu,No,Yes
Seamus Finnigan,SeamusFinnigan@hogwarts.edu,No,Yes
Marcus Flint,MarcusFlint@hogwarts.edu,No,Yes
Vicky Frobisher,VickyFrobisher@hogwarts.edu,No,Yes
Anthony Goldstein,AnthonyGoldstein@hogwarts.edu,No,Yes
Gregory Goyle,GregoryGoyle@hogwarts.edu,No,Yes
Hermione Granger,HermioneGranger@hogwarts.edu,No,Yes
Daphne Greenglass,DaphneGreenglass@hogwarts.edu,No,Yes
Terence Higgs,TerenceHiggs@hogwarts.edu,No,Yes
Geoffrey Hooper,GeoffreyHooper@hogwarts.edu,No,Yes
